source,target,time_fps
fly12,fly10,11001
fly11,fly8,11002
fly11,fly3,11062
fly10,fly12,11080
fly11,fly7,11102
fly7,fly11,11105
fly8,fly3,11106
fly9,fly5,11122
fly8,fly3,11151
fly11,fly12,11160
fly7,fly8,11173
fly8,fly7,11181
fly12,fly11,11201
fly8,fly3,11247
fly3,fly8,11258
fly12,fly2,11263
fly2,fly11,11270
fly12,fly11,11277
fly11,fly12,11292
fly8,fly3,11314
fly11,fly12,11343
fly8,fly3,11348
fly12,fly2,11361
fly12,fly1,11375
fly9,fly7,11386
fly10,fly3,11417
fly9,fly7,11420
fly10,fly8,11447
fly8,fly10,11447
fly8,fly3,11471
fly9,fly12,11476
fly12,fly9,11483
fly5,fly1,11503
fly12,fly9,11518
fly4,fly7,11543
fly3,fly7,11583
fly7,fly3,11587
fly11,fly9,11605
fly12,fly2,11605
fly5,fly3,11614
fly7,fly3,11616
fly9,fly11,11617
fly3,fly5,11617
fly7,fly5,11628
fly5,fly7,11628
fly1,fly10,11642
fly10,fly4,11650
fly3,fly7,11656
fly5,fly7,11656
fly7,fly3,11662
fly7,fly5,11688
fly2,fly9,11689
fly7,fly5,11709
fly5,fly3,11728
fly10,fly3,11729
fly3,fly10,11730
fly10,fly5,11740
fly8,fly5,11781
fly9,fly10,11841
fly5,fly12,11849
fly7,fly12,11890
fly12,fly7,11903
fly9,fly12,11952
fly12,fly9,11958
fly11,fly8,11966
fly7,fly9,12031
fly8,fly3,12099
fly10,fly12,12100
fly10,fly12,12150
fly4,fly7,12161
fly10,fly2,12167
fly2,fly10,12169
fly8,fly4,12192
fly2,fly12,12212
fly1,fly3,12215
fly3,fly1,12237
fly5,fly6,12266
fly7,fly8,12266
fly4,fly7,12300
fly9,fly11,12319
fly10,fly4,12324
fly4,fly10,12325
fly8,fly3,12342
fly11,fly9,12360
fly3,fly10,12373
fly3,fly8,12468
fly11,fly8,12513
fly8,fly11,12525
fly11,fly8,12543
fly8,fly11,12605
fly9,fly7,12619
fly8,fly11,12624
fly3,fly6,12656
fly12,fly10,12689
fly10,fly12,12695
fly8,fly1,12715
fly11,fly1,12733
fly1,fly11,12735
fly8,fly11,12743
fly5,fly11,12772
fly11,fly5,12774
fly11,fly8,12797
fly11,fly8,12827
fly2,fly11,12867
fly9,fly10,12881
fly10,fly9,12881
fly4,fly6,12886
fly3,fly11,12899
fly5,fly1,12908
fly11,fly3,12915
fly1,fly5,12922
fly1,fly5,12962
fly2,fly8,12977
fly7,fly9,12991
fly5,fly12,12995
fly12,fly5,13016
fly8,fly3,13027
fly6,fly12,13032
fly4,fly6,13047
fly6,fly4,13079
fly12,fly4,13080
fly11,fly10,13089
fly11,fly7,13093
fly10,fly11,13107
fly1,fly4,13121
fly4,fly1,13129
fly11,fly7,13135
fly5,fly12,13142
fly12,fly5,13169
fly11,fly7,13179
fly2,fly8,13184
fly4,fly12,13185
fly12,fly4,13192
fly9,fly7,13197
fly8,fly2,13208
fly7,fly10,13326
fly12,fly8,13341
fly5,fly10,13346
fly10,fly5,13354
fly12,fly2,13391
fly5,fly3,13399
fly3,fly5,13401
fly9,fly12,13472
fly7,fly6,13482
fly10,fly1,13487
fly6,fly7,13489
fly3,fly10,13497
fly4,fly2,13521
fly2,fly4,13529
fly6,fly7,13602
fly5,fly6,13625
fly6,fly5,13633
fly7,fly9,13642
fly12,fly3,13644
fly6,fly7,13663
fly4,fly12,13676
fly9,fly7,13708
fly9,fly6,13723
fly7,fly9,13731
fly7,fly6,13738
fly6,fly7,13751
fly5,fly12,13808
fly11,fly3,13808
fly8,fly2,13821
fly5,fly7,13825
fly9,fly2,13829
fly7,fly12,13835
fly3,fly11,13848
fly8,fly2,13858
fly11,fly10,13875
fly4,fly7,13885
fly11,fly5,13898
fly5,fly4,13911
fly11,fly7,13919
fly11,fly4,13921
fly5,fly11,13930
fly4,fly11,13954
fly2,fly3,13972
fly10,fly7,13974
fly6,fly12,13988
fly12,fly5,13991
fly3,fly1,13993
fly5,fly11,13995
fly10,fly4,14003
fly10,fly4,14026
fly4,fly10,14029
fly10,fly6,14047
fly4,fly6,14050
fly6,fly4,14127
fly4,fly6,14148
fly12,fly4,14154
fly10,fly8,14160
fly10,fly6,14234
fly6,fly10,14240
fly6,fly8,14245
fly12,fly4,14269
fly12,fly4,14297
fly4,fly12,14302
fly4,fly12,14389
fly10,fly7,14404
fly4,fly12,14534
fly12,fly2,14542
fly5,fly3,14557
fly1,fly2,14560
fly2,fly1,14560
fly4,fly2,14562
fly1,fly4,14580
fly4,fly1,14591
fly4,fly12,14602
fly1,fly12,14603
fly12,fly7,14605
fly7,fly1,14610
fly4,fly7,14634
fly10,fly3,14639
fly12,fly11,14648
fly11,fly12,14648
fly7,fly2,14658
fly1,fly11,14685
fly9,fly3,14709
fly5,fly6,14722
fly4,fly11,14737
fly11,fly12,14775
fly10,fly12,14785
fly10,fly11,14794
fly11,fly12,14801
fly10,fly12,14806
fly12,fly11,14810
fly8,fly6,14816
fly8,fly7,14820
fly7,fly6,14824
fly6,fly8,14855
fly5,fly2,14875
fly10,fly12,14899
fly12,fly5,14900
fly5,fly12,14901
fly12,fly2,14929
fly2,fly12,14935
fly12,fly9,14944
fly1,fly4,14953
fly5,fly9,14955
fly5,fly9,14981
fly2,fly6,14991
fly12,fly6,14999
fly5,fly4,15007
fly3,fly12,15011
fly3,fly2,15035
fly2,fly3,15036
fly9,fly6,15050
fly2,fly12,15053
fly12,fly9,15062
fly9,fly2,15072
fly2,fly9,15092
fly7,fly5,15101
fly12,fly2,15120
fly2,fly6,15121
fly8,fly10,15128
fly5,fly7,15134
fly9,fly3,15153
fly7,fly4,15154
fly3,fly9,15158
fly4,fly7,15168
fly1,fly10,15169
fly9,fly3,15225
fly12,fly3,15238
fly3,fly12,15239
fly9,fly12,15255
fly3,fly2,15268
fly3,fly6,15281
fly6,fly3,15288
fly8,fly1,15299
fly11,fly6,15304
fly4,fly7,15307
fly11,fly2,15311
fly2,fly11,15313
fly11,fly12,15371
fly6,fly3,15372
fly5,fly1,15397
fly9,fly11,15435
fly7,fly1,15438
fly11,fly9,15453
fly4,fly3,15482
fly12,fly11,15525
fly11,fly12,15541
fly3,fly4,15619
fly12,fly2,15627
fly1,fly5,15648
fly11,fly5,15683
fly2,fly11,15798
fly12,fly2,15810
fly2,fly11,15818
fly12,fly11,15830
fly9,fly7,15855
fly7,fly9,15856
